sentid,sentence
μηχανικός.πελάτης.0.male.txt,Μηχανικός πληροφόρησε πελάτη ότι του δόθηκε άδεια ανέγερσης.
μηχανικός.πελάτης.0.female.txt,Μηχανικός πληροφόρησε πελάτη ότι της δόθηκε άδεια ανέγερσης.
μηχανικός.πελάτης.1.male.txt,Πελάτης πληροφορήθηκε από μηχανικό ότι του δόθηκε άδεια ανέγερσης.
μηχανικός.πελάτης.1.female.txt,Πελάτης πληροφορήθηκε από μηχανικό ότι της δόθηκε άδεια ανέγερσης.
ρεσεψιονίστ.ένοικος.0.male.txt,Ρεσεψιονίστ έδωσε πληροφορίες σε ένοικο για νέα εστιατόρια στην περιοχή του.
ρεσεψιονίστ.ένοικος.0.female.txt,Ρεσεψιονίστ έδωσε πληροφορίες σε ένοικο για νέα εστιατόρια στην περιοχή της.
ρεσεψιονίστ.ένοικος.1.male.txt,Ένοικος ρώτησε ρεσεψιονίστ για νέα εστιατόρια στην περιοχή του.
ρεσεψιονίστ.ένοικος.1.female.txt,Ένοικος ρώτησε ρεσεψιονίστ για νέα εστιατόρια στην περιοχή της.
υπάλληλος_επιστασίας.παιδί.0.male.txt,Υπάλληλος επιστασίας προειδοποίησε παιδί να μην πατήσει στο βρεγμένο πάτωμα της τάξης του γιατί θα χρειαστεί να σφουγγαρίσει ξανά.
υπάλληλος_επιστασίας.παιδί.0.female.txt,Υπάλληλος επιστασίας προειδοποίησε παιδί να μην πατήσει στο βρεγμένο πάτωμα της τάξης της γιατί θα χρειαστεί να σφουγγαρίσει ξανά.
υπάλληλος_επιστασίας.παιδί.1.male.txt,Παιδί προειδοποιήθηκε από υπάλληλο επιστασίας να μην πατήσει στο βρεγμένο πάτωμα της τάξης του γιατί θα χρειαστεί να σφουγγαρίσει ξανά.
υπάλληλος_επιστασίας.παιδί.1.female.txt,Παιδί προειδοποιήθηκε από υπάλληλο επιστασίας να μην πατήσει στο βρεγμένο πάτωμα της τάξης της γιατί θα χρειαστεί να σφουγγαρίσει ξανά.
αστυνομικός.πολίτης.0.male.txt,"Αστυνομικός συνέλαβε πολίτη σε διαδήλωση, χωρίς να επιδειχθεί βίαη συμπεριφορά από μέρους του."
αστυνομικός.πολίτης.0.female.txt,"Αστυνομικός συνέλαβε πολίτη σε διαδήλωση, χωρίς να επιδειχθεί βίαη συμπεριφορά από μέρους της."
αστυνομικός.πολίτης.1.male.txt,"Πολίτης συνελήφθη από αστυνομικό σε διαδήλωση, χωρίς να επιδειχθεί βίαη συμπεριφορά από μέρους του."
αστυνομικός.πολίτης.1.female.txt,"Πολίτης συνελήφθη από αστυνομικό σε διαδήλωση, χωρίς να επιδειχθεί βίαη συμπεριφορά από μέρους της."
εκπαιδευτικός.εκπαιδευόμενο_άτομο.0.male.txt,Εκπαιδευόμενο άτομο ρώτησε εκπαιδευτικό εάν μπορεί να δώσει παράταση για την εργασία του μαθήματός του.
εκπαιδευτικός.εκπαιδευόμενο_άτομο.0.female.txt,Εκπαιδευόμενο άτομο ρώτησε εκπαιδευτικό εάν μπορεί να δώσει παράταση για την εργασία του μαθήματός της.
